Channel,Archive_Date
"{'id': 'C9P4H3QBE', 'name': 'support_repo_vms', 'created': 1520957050, 'num_members': 14}",2019-10-17
Channel,Archive_Date
"{'id': 'CA8SDSKNK', 'name': 'delete-ttam-181011', 'created': 1523915790, 'num_members': 6}",2019-10-17
Channel,Archive_Date
"{'id': 'CAG9A3QEA', 'name': 'cloudworks-training', 'created': 1525024207, 'num_members': 20}",2019-10-17
Channel,Archive_Date
"{'id': 'CAR7BGPNW', 'name': 'bah_c4s_orders', 'created': 1526513755, 'num_members': 6}",2019-10-17
Channel,Archive_Date
"{'id': 'CAWDMHRK6', 'name': 'delete-ttam-2018-1004', 'created': 1525989028, 'num_members': 0}",2019-10-17
Channel,Archive_Date
"{'id': 'CAWQDHPPX', 'name': 'steak', 'created': 1520897203, 'num_members': 3}",2019-10-17
